spp,site,ftyp,_TYPE_,_FREQ_,count,area,pres
C.,21,C,0,4,0.75,1.8954,1
C.,21,O,0,4,0,1.4541,0
C.,27,C,0,5,0.2,1.6112,1
C.,27,O,0,5,1.2,0.3798,1
C.,30,C,0,3,0,1.5888,0
C.,30,O,0,3,0.6666666667,1.1422,1
C.,32,C,0,5,0,0.827,0
C.,32,O,0,4,1.75,1.0007,1
C.,36,C,0,4,0.25,0.8182,1
C.,36,O,0,4,0,0.7828,0
C.,37,O,0,5,0.4,1.2915,1
C.,38,C,0,4,0.25,1.253,1
C.,38,O,0,5,3,0.8475,1
C.,39,C,0,3,0.3333333333,1.1304,1
C.,39,O,0,3,0,1.0848,0
C.,4,C,0,5,1.2,1.1555,1
C.,41,C,0,4,0,0.8226,0
C.,41,O,0,4,0,0.4468,0
C.,43,C,0,3,0,2.0517,0
C.,45,C,0,4,0,1.1475,0
C.,45,O,0,5,0.4,1.0027,1
C.,46,C,0,5,0.4,0.1316,1
C.,46,O,0,5,0,0.1842,0
C.,47,C,0,4,0.25,0.3328,1
C.,47,O,0,4,1,0.3478,1
C.,49,O,0,4,0.5,1.0672,1
C.,5,O,0,5,0.8,0.6903,1
C.,50,C,0,4,0.75,0.4387,1
C.,50,O,0,5,1.6,1.1295,1
C.,51,O,0,5,1,0.8218,1
C.,52,C,0,4,6.25,1.0836,1
C.,52,O,0,4,2.25,0.8179,1
C.,53,C,0,5,0.6,1.315,1
C.,53,O,0,5,2.2,0.5553,1
C.,55,C,0,4,0,0.0643,0
C.,55,O,0,4,0,0.6942,0
C.,56,C,0,2,0,0.3089,0
C.,56,O,0,4,0,0.4251,0
C.,59,C,0,5,0,0.5025,0
C.,59,O,0,4,0,0.3151,0
C.,6,C,0,5,0,1.3482,0
C.,60,C,0,5,1.6,1.4753,1
C.,60,O,0,5,3,1.0666,1
C.,61,C,0,3,0,1.2371,0
C.,61,O,0,3,1.3333333333,0.9724,1
C.,62,C,0,3,0,1.4273,0
C.,63,C,0,5,0.8,1.1627,1
C.,64,C,0,4,0.25,0.6148,1
C.,64,O,0,4,0.25,1.0128,1
C.,65,C,0,4,0,0.7839,0
C.,65,O,0,4,0,0.9264,0
C.,66,C,0,3,0,0.7237,0
C.,66,O,0,4,0,1.3731,0
C.,67,C,0,5,0,0.6601,0
C.,67,O,0,5,0,0.6867,0
C.,68,C,0,4,0,0.2976,0
C.,7,C,0,5,5.2,2.7099,1
C.,7,O,0,5,0,0.4373,0
C.,70,C,0,4,0,0.4683,0
C.,70,O,0,4,0,0.5493,0
C.,71,C,0,4,0,0.2153,0
C.,72,C,0,5,41,0.7333,1
C.,72,O,0,4,0,0.7783,0
C.,73,C,0,5,0,0.664,0
C.,73,O,0,5,0,0.306,0
C.,74,C,0,5,0,0.5348,0
C.,74,O,0,5,0.2,0.9849,1
C.,75,C,0,5,0,0.5497,0
C.,75,O,0,5,0.2,0.9576,1
C.,76,C,0,5,0,1.155,0
C.,76,O,0,5,0,1.086,0
C.,77,C,0,4,0,0.8376,0
C.,77,O,0,4,0,0.5637,0
C.,78,C,0,5,0.4,1.1517,1
C.,78,O,0,4,0,0.3025,0
C.,79,C,0,5,0.4,0.6499,1
C.,79,O,0,5,0,1.3908,0
C.,8,C,0,5,0.2,0.872,1
C.,8,O,0,5,0,0.9237,0
C.,80,C,0,4,0,0.9748,0
C.,80,O,0,4,0,1.4184,0
C.,9,C,0,3,4,0.7905,1
C.,9,O,0,3,0.6666666667,0.4599,1
C.,99,C,0,3,0.6666666667,3.1787,1
C.,99,O,0,3,1,1.0425,1
CB,1,C,0,3,0,1.0567,0
CB,1,O,0,3,0,0.7722,0
CB,10,C,0,4,6.25,1.9052,1
CB,152,C,0,4,0,1.9023,0
CB,152,O,0,2,0,0.9748,0
CB,16,C,0,3,0,0.2016,0
CB,16,O,0,3,0,0.6402,0
CB,17,C,0,5,0,0.4534,0
CB,17,O,0,5,0,0.7884,0
CB,18,C,0,5,2.1,1.041,1
CB,18,O,0,5,0,2.2818,0
CB,19,O,0,4,1.5,0.8086,1
CB,20,C,0,2,16.5,0.6252,1
CB,20,O,0,3,0,11.377,0
CB,21,C,0,4,7.25,1.8954,1
CB,21,O,0,4,0,1.4541,0
CB,27,C,0,5,0,1.6112,0
CB,27,O,0,5,0,0.3798,0
CB,30,C,0,3,0,1.5888,0
CB,30,O,0,3,0,1.1422,0
CB,32,C,0,5,0,0.827,0
CB,32,O,0,4,0,1.0007,0
CB,36,C,0,4,0,0.8182,0
CB,36,O,0,4,0,0.7828,0
CB,37,O,0,5,0,1.2915,0
CB,38,C,0,4,0,1.253,0
CB,38,O,0,5,0,0.8475,0
CB,39,C,0,3,0,1.1304,0
CB,39,O,0,3,0,1.0848,0
CB,4,C,0,5,0,1.1555,0
CB,41,C,0,4,0,0.8226,0
CB,41,O,0,4,0,0.4468,0
CB,43,C,0,3,0,2.0517,0
CB,45,C,0,4,0,1.1475,0
CB,45,O,0,5,0,1.0027,0
CB,46,C,0,5,0,0.1316,0
CB,46,O,0,5,0,0.1842,0
CB,47,C,0,4,0,0.3328,0
CB,47,O,0,4,0,0.3478,0
CB,49,O,0,4,0,1.0672,0
CB,5,O,0,5,0,0.6903,0
CB,50,C,0,4,0,0.4387,0
CB,50,O,0,5,0,1.1295,0
CB,51,O,0,5,0,0.8218,0
CB,52,C,0,4,0,1.0836,0
CB,52,O,0,4,0,0.8179,0
CB,53,C,0,5,0,1.315,0
CB,53,O,0,5,0,0.5553,0
CB,55,C,0,4,0,0.0643,0
CB,55,O,0,4,0,0.6942,0
CB,56,C,0,2,0,0.3089,0
CB,56,O,0,4,0,0.4251,0
CB,59,C,0,5,0,0.5025,0
CB,59,O,0,4,0,0.3151,0
CB,6,C,0,5,0.2,1.3482,1
CB,60,C,0,5,0,1.4753,0
CB,60,O,0,5,0,1.0666,0
CB,61,C,0,3,1,1.2371,1
CB,61,O,0,3,0,0.9724,0
CB,62,C,0,3,0,1.4273,0
CB,63,C,0,5,0,1.1627,0
CB,64,C,0,4,0,0.6148,0
CB,64,O,0,4,0,1.0128,0
CB,65,C,0,4,0,0.7839,0
CB,65,O,0,4,0,0.9264,0
CB,66,C,0,3,0,0.7237,0
CB,66,O,0,4,0,1.3731,0
CB,67,C,0,5,0,0.6601,0
CB,67,O,0,5,0,0.6867,0
CB,68,C,0,4,0,0.2976,0
CB,7,C,0,5,0,2.7099,0
CB,7,O,0,5,0,0.4373,0
CB,70,C,0,4,0,0.4683,0
CB,70,O,0,4,0,0.5493,0
CB,71,C,0,4,0,0.2153,0
CB,72,C,0,5,0,0.7333,0
CB,72,O,0,4,0,0.7783,0
CB,73,C,0,5,0,0.664,0
CB,73,O,0,5,0,0.306,0
CB,74,C,0,5,0,0.5348,0
CB,74,O,0,5,0,0.9849,0
CB,75,C,0,5,0,0.5497,0
CB,75,O,0,5,0,0.9576,0
CB,76,C,0,5,0,1.155,0
CB,76,O,0,5,0,1.086,0
CB,77,C,0,4,0,0.8376,0
CB,77,O,0,4,0,0.5637,0
CB,78,C,0,5,0,1.1517,0
CB,78,O,0,4,0,0.3025,0
CB,79,C,0,5,0,0.6499,0
CB,79,O,0,5,0,1.3908,0
CB,8,C,0,5,0,0.872,0
CB,8,O,0,5,0,0.9237,0
CB,80,C,0,4,0,0.9748,0
CB,80,O,0,4,0,1.4184,0
CB,9,C,0,3,0,0.7905,0
CB,9,O,0,3,0,0.4599,0
CB,99,C,0,3,0,3.1787,0
CB,99,O,0,3,0,1.0425,0
CH,1,C,0,3,0.6666666667,1.0567,1
CH,1,O,0,3,2.6666666667,0.7722,1
CH,10,C,0,4,18.75,1.9052,1
CH,152,C,0,4,1.75,1.9023,1
CH,152,O,0,2,27,0.9748,1
CH,16,C,0,3,4.6666666667,0.2016,1
CH,16,O,0,3,7,0.6402,1
CH,17,C,0,5,0.4,0.4534,1
CH,17,O,0,5,0.2,0.7884,1
CH,18,C,0,5,0,1.041,0
CH,18,O,0,5,2.6,2.2818,1
CH,19,O,0,4,13.25,0.8086,1
CH,20,C,0,2,1,0.6252,1
CH,20,O,0,3,1.6666666667,11.377,1
CH,21,C,0,4,7,1.8954,1
CH,21,O,0,4,3.5,1.4541,1
CH,27,C,0,5,6,1.6112,1
CH,27,O,0,5,9.4,0.3798,1
CH,30,C,0,3,0.3333333333,1.5888,1
CH,30,O,0,3,1.3333333333,1.1422,1
CH,32,C,0,5,0.8,0.827,1
CH,32,O,0,4,6.5,1.0007,1
CH,36,C,0,4,0.25,0.8182,1
CH,36,O,0,4,0.25,0.7828,1
CH,37,O,0,5,14.2,1.2915,1
CH,38,C,0,4,4.25,1.253,1
CH,38,O,0,5,17.2,0.8475,1
CH,39,C,0,3,1.3333333333,1.1304,1
CH,39,O,0,3,10,1.0848,1
CH,4,C,0,5,6,1.1555,1
CH,41,C,0,4,0,0.8226,0
CH,41,O,0,4,1.25,0.4468,1
CH,43,C,0,3,12,2.0517,1
CH,45,C,0,4,0.75,1.1475,1
CH,45,O,0,5,7.8,1.0027,1
CH,46,C,0,5,0.6,0.1316,1
CH,46,O,0,5,0.2,0.1842,1
CH,47,C,0,4,3.75,0.3328,1
CH,47,O,0,4,0.5,0.3478,1
CH,49,O,0,4,1.25,1.0672,1
CH,5,O,0,5,6.4,0.6903,1
CH,50,C,0,4,3.75,0.4387,1
CH,50,O,0,5,10.6,1.1295,1
CH,51,O,0,5,8,0.8218,1
CH,52,C,0,4,10,1.0836,1
CH,52,O,0,4,1,0.8179,1
CH,53,C,0,5,18.4,1.315,1
CH,53,O,0,5,30.4,0.5553,1
CH,55,C,0,4,2.5,0.0643,1
CH,55,O,0,4,0,0.6942,0
CH,56,C,0,2,0,0.3089,0
CH,56,O,0,4,12.25,0.4251,1
CH,59,C,0,5,3.4,0.5025,1
CH,59,O,0,4,0,0.3151,0
CH,6,C,0,5,13.2,1.3482,1
